,NAME,STATUS,SHOT,SEQ,REEL
452,Hair and Fur,Completed,SHOT_030,080,080
453,Compositing,Pending Review,SHOT_030,080,080
454,Paint,Completed,SHOT_030,080,080
455,Animation,Approved,SHOT_030,080,080
456,Lookdev,Ready to Start,SHOT_030,080,080
457,Cloth,Completed,SHOT_030,080,080
458,Baking,Completed,SHOT_030,080,080
459,Animation,In progress,SHOT_015,280,280
460,Animation,In progress,SHOT_010,230,230
461,Layout,In progress,SHOT_020,610,610
462,Animation,Ready to Start,SHOT_070,450,450
463,Layout,Completed,SHOT_070,450,450
464,Hair and Fur,Completed,SHOT_377,070,070
465,Compositing,Pending Review,SHOT_377,070,070
466,Paint,Completed,SHOT_377,070,070
467,Animation,Ready to Start,SHOT_377,070,070
468,Lookdev,Not started,SHOT_377,070,070
469,Layout,In progress,SHOT_650,310,310
470,Cloth,Ready to Start,SHOT_377,070,070
471,Baking,Completed,SHOT_377,070,070
472,Cloth,Completed,SHOT_021,240,240
473,Animation,Approved,SHOT_021,240,240
474,Lookdev,In progress,SHOT_021,240,240
475,Assemble,Completed,SHOT_021,240,240
476,Baking,Completed,SHOT_021,240,240
477,Animation,Ready to Start,SHOT_220,450,450
478,Layout,Completed,SHOT_220,450,450
479,FTP,Completed,SHOT_150,450,450
480,FTP,Completed,SHOT_060,450,450
481,FTP,Completed,SHOT_160,450,450
482,FTP,Completed,SHOT_020,450,450
483,FTP,Completed,SHOT_050,450,450
484,FTP,Completed,SHOT_100,450,450
485,FTP,Completed,SHOT_040,450,450
486,FTP,Completed,SHOT_180,450,450
487,FTP,Completed,SHOT_090,450,450
488,FTP,Completed,SHOT_080,450,450
489,FTP,Completed,SHOT_210,450,450
490,FTP,Completed,SHOT_110,450,450
491,FTP,Completed,SHOT_140,450,450
492,FTP,Completed,SHOT_170,450,450
493,FTP,Completed,SHOT_200,450,450
494,FTP,Completed,SHOT_010,450,450
495,FTP,Completed,SHOT_030,450,450
496,FTP,Completed,SHOT_070,450,450
497,FTP,Completed,SHOT_190,450,450
498,FTP,Completed,SHOT_010,410,410
499,FTP,Completed,SHOT_050,410,410
500,FTP,Completed,SHOT_020,410,410
